0	809:1 810:1 899:2 
revise	830:1 834:1 
rfid	832:1 
rise	817:1 
risk	828:1 
rivers	817:1 
rock	840:1 845:1 847:1 848:1 
role	878:1 
roman	802:1 803:1 805:1 806:1 808:2 
romana	805:1 
romans	802:1 804:1 
rome	802:1 804:1 806:1 807:2 808:1 
room	819:1 
rotterdam	900:2 
roughly	807:1 
round	842:1 
row	907:1 
rule	804:1 
runs	833:1 
s	804:1 805:2 807:2 808:1 810:1 813:1 816:2 821:2 829:1 842:1 845:1 848:1 851:1 864:1 865:1 867:1 879:1 888:1 907:1 
sack	819:1 
sacramento	817:1 
safe	887:1 
said	843:1 890:1 
sailor	842:1 843:1 846:1 
sailors	846:1 
sales	886:1 
same	836:1 850:1 
sample	879:1 
san	812:1 813:1 816:1 817:1 
say	812:1 823:1 824:1 842:2 846:1 
scales	898:1 
school	861:2 863:2 
schools	875:1 
scores	864:1 
sea	802:1 817:1 839:3 842:1 843:1 844:1 846:1 901:1 903:1 
seat	882:1 
second	862:1 
section	864:1 
security	892:1 
sediment	822:1 
see	837:1 898:1 
select	841:1 
selectable	837:2 
selection	879:1 
semester	862:1 
semesters	865:1 866:1 868:1 
sensitivity	873:1 
sent	897:1 
separate	876:1 899:1 
series	808:1 
serves	842:1 846:1 
service	892:1 897:2 
services	838:4 886:1 892:1 
set	830:1 834:1 836:1 859:1 866:1 878:1 
seven	831:1 
several	822:1 
severity	873:1 
sex	809:2 818:2 
shape	819:1 854:2 
shapes	819:1 
she	842:2 846:1 
ship	812:1 
shock	850:1 851:1 853:1 855:2 
shores	875:1 
short	826:1 
should	864:1 867:1 897:1 
show	861:1 898:1 
shown	835:1 
sierra	817:1 
sign	859:1 
signal	871:1 
simple	862:1 
since	907:2 
single	825:1 829:1 837:1 
sip	821:1 
site	863:1 870:1 
six	894:1 
sixth	881:1 
size	805:1 878:1 
slower	850:1 858:2 
slowly	808:1 
smellings	908:1 
smells	908:3 
smelly	908:2 
smelt	908:1 
smelted	908:1 
smelter	908:2 
smelteries	908:1 
smooth	898:1 
smoothly	833:1 
so	821:2 830:1 833:1 852:1 859:1 872:1 878:1 
social	886:1 889:1 892:1 893:1 
softer	858:2 
solution	829:2 837:1 
some	822:1 860:1 
something	827:1 
sometimes	851:1 878:1 
somewhat	812:1 
song	840:1 841:1 845:2 847:1 848:1 
sonic	850:1 851:1 852:1 857:1 
soothing	827:1 
sore	827:1 
sought	897:1 
sound	849:3 851:2 852:3 853:2 855:3 856:1 857:4 858:4 
source	850:2 854:1 855:2 873:1 
south	824:1 899:1 
southeast	817:1 
speak	888:1 
special	839:1 
specific	865:1 
specify	836:1 
speed	849:1 850:3 851:1 852:2 853:6 854:2 855:1 857:4 
speeds	851:3 
spendin	895:1 
spending	891:4 895:6 896:7 
sponsored	816:1 
square	803:1 
stability	805:1 
standards	888:1 
started	868:1 877:1 
state	809:1 810:1 814:1 815:1 818:1 879:1 
states	882:1 884:1 888:1 891:1 895:1 896:1 
station	829:1 
statistical	881:2 
statistics	884:1 
stats	811:1 
steal	842:1 846:1 
steaming	827:1 
step	877:1 
steps	834:1 
still	802:1 
stockton	812:2 817:1 818:1 
stored	828:1 
story	823:1 845:1 848:1 
streaming	841:1 
strong	873:1 903:1 
structures	832:1 
student	860:1 862:1 
study	862:1 864:1 869:1 
stuff	873:1 
style	823:1 
subcontinent	824:1 
successor	805:1 
suites	885:1 
summer	859:1 860:1 901:1 902:1 903:1 
summers	901:1 903:1 904:1 
sunshine	900:1 905:1 
superiority	802:1 
supersonic	851:2 
supervision	837:2 
suppose	858:1 
sure	824:1 
surface	898:1 
surrounding	817:1 
survey	879:1 
survivability	829:1 
sweetness	822:1 
sweval	840:1 845:1 847:1 848:1 
swimming	894:1 
switched	877:1 
system	831:1 836:1 
systems	903:1 
t	849:4 859:1 878:1 
table	830:1 834:1 899:1 
tabulation	879:1 
take	859:3 860:1 862:2 863:1 864:1 
takes	865:1 871:1 
taps	858:1 
taste	821:2 822:1 
taster	821:1 
taxes	806:1 808:1 809:1 
tea	819:4 820:2 821:6 822:1 823:5 824:1 825:4 826:3 827:1 
teas	821:1 827:2 828:1 
technical	866:1 873:1 
technologies	829:1 
technology	829:1 871:1 878:1 
telephone	897:1 
telstra	875:1 
temperate	901:1 903:1 
temperature	898:4 900:1 902:1 905:1 906:3 907:1 
temperatures	901:1 903:1 
tennis	889:1 893:1 894:1 
terminal	867:1 
terrain	817:1 
territory	803:1 
tetra	874:1 
texas	880:1 
than	810:1 814:3 815:3 836:1 850:2 851:1 853:1 855:2 858:4 859:1 872:1 889:1 890:1 893:1 
thanks	823:1 
thatâs	828:1 
them	821:2 823:1 842:1 846:1 877:1 
thesis	865:1 866:2 
think	852:1 
third	862:1 907:1 
those	865:1 867:1 899:1 
thread	890:1 
three	907:1 
throat	827:1 
through	849:3 858:8 
throughout	904:1 
throw	877:1 
thru	819:1 
time	803:1 807:1 861:1 898:1 902:2 907:1 
timing	837:1 871:1 
title	802:1 
toefl	864:1 
together	829:1 
tomorrow	872:1 
too	826:1 828:1 871:1 873:1 
topics	816:1 
total	810:1 814:1 815:1 836:1 883:1 886:3 891:1 895:1 896:1 
tower	871:1 872:1 873:1 875:1 876:2 878:2 
towers	869:1 870:3 
town	842:1 
towns	884:1 
toâliterallyâmelting	828:1 
trajan	803:1 
transmitter	878:2 
transportation	812:1 
travails	806:1 
travel	849:1 
traveling	851:1 
travels	849:1 857:4 858:4 
treasury	806:1 
trend	907:1 
tutorial	856:1 
twitter	891:1 895:1 
two	805:1 806:1 866:1 868:1 869:1 894:1 
types	832:1 856:1 
typical	871:1 904:1 
u	810:1 879:1 888:1 
ucc	832:1 
udc	830:1 834:1 
uk	810:1 
uncertainty	898:1 
unchanged	854:1 
uncomfortable	903:1 
under	803:1 890:1 
undergraduate	868:1 
understand	839:1 
unit	856:1 
united	882:1 888:1 891:1 895:1 896:1 
units	809:1 
unprecedented	805:1 
up	821:1 827:1 830:1 833:1 834:1 836:1 859:1 866:1 871:1 
upping	828:1 
urban	882:1 
us	870:1 
use	830:1 834:1 836:1 876:1 
used	825:1 829:2 831:1 832:2 843:1 
using	877:2 
usually	865:1 868:1 
v	854:1 
valid	864:1 
valley	813:1 816:1 
vals	837:1 
value	830:1 831:1 836:1 885:1 
values	830:2 834:2 
varies	901:1 903:1 
variety	824:1 
various	832:1 
ve	822:1 872:1 
version	836:1 841:1 
very	867:1 
victory	805:1 
viii	810:1 
visit	869:1 870:1 
volume	831:1 
voting	879:1 
w	885:1 
walk	902:1 
walmart	822:1 
wan	837:1 
want	823:1 869:1 870:1 872:1 
war	895:1 896:1 
warm	902:1 
warmest	907:1 
warming	827:1 907:1 
wastes	831:1 
watch	843:1 
watching	827:1 
water	825:1 856:2 
wave	849:1 850:1 851:1 853:3 854:5 855:1 
waves	849:3 850:2 855:2 856:5 
way	873:1 
we	838:1 
weapons	895:1 896:1 
weather	899:2 900:1 902:1 903:1 904:1 905:1 906:1 
weight	820:1 827:2 828:1 
well	837:1 879:1 
went	861:1 863:1 877:1 
were	805:1 806:1 819:1 869:1 874:1 907:1 
west	899:1 
western	806:1 887:1 
wet	899:1 
wettest	900:1 904:1 905:1 
what	812:1 821:1 833:1 842:1 843:1 844:2 846:1 864:4 
when	825:1 852:1 857:5 899:1 
whenever	850:1 
where	821:1 824:1 869:1 870:1 873:1 875:1 
whether	860:2 862:2 
which	808:1 814:1 815:1 819:1 820:1 823:1 849:1 853:1 857:1 889:1 893:1 906:1 
whiskey	842:2 846:1 
who	838:1 
whose	897:1 
wi	874:1 
wife	842:1 843:1 844:1 846:1 
wifi	872:1 
williamson	882:1 
wind	904:1 
wine	842:1 846:1 
winter	901:1 903:2 
winters	901:1 903:1 904:1 
winterâs	827:1 
wish	892:1 
within	831:1 832:1 
words	908:1 
work	862:1 866:2 869:1 870:1 871:1 874:1 879:1 
working	860:1 
works	842:1 
workstation	833:1 
world	803:2 807:2 866:1 
would	821:2 823:2 834:1 842:1 843:1 844:1 846:1 
write	888:1 
written	865:1 866:1 
xii	810:1 
yeah	843:1 846:1 
year	822:1 861:1 862:1 863:1 869:1 891:1 895:1 896:1 898:1 904:2 906:1 907:1 
years	805:1 819:1 822:1 825:1 826:2 859:1 860:1 861:1 862:1 863:1 883:2 886:2 894:1 907:2 
you	821:1 823:3 827:1 834:1 836:3 840:1 841:2 842:3 843:3 844:5 845:1 846:3 847:1 852:2 859:3 860:5 862:2 863:1 869:1 870:2 889:1 892:1 893:1 899:1 
your	820:1 821:1 828:4 830:1 833:1 834:1 836:1 846:1 860:1 862:1 869:2 870:2 
youth	838:1 
youâre	890:1 
â	807:1 
âblack	820:1 
â	820:1 
ëloê	813:1 
îµî»î»î·î½î¹îºî¬	808:1 
ø§ùø¹ø±ø¨ùø©	808:1 
